Ticker,Sector,Industry,Prev Year Last Close,Latest Close,Pct Change
SATS,Communication Services,Telecom Services,22.89999961853028,104.38999938964844,3.558515333125939
WDC,Technology,Computer Hardware,44.89957046508789,187.1999969482422,3.1693048510074595
LITE,Technology,Communication Equipment,83.94999694824219,335.989990234375,3.002263281099621
MP,Basic Materials,Other Industrial Metals & Mining,15.600000381469728,60.0099983215332,2.846794670134454
STX,Technology,Computer Hardware,84.88915252685547,307.8500061035156,2.6264940447617784
HOOD,Financial Services,Capital Markets,37.2599983215332,123.37999725341795,2.3113258940249204
MU,Technology,Semiconductors,83.91897583007812,258.4599914550781,2.079875426249438
KTOS,Industrials,Aerospace & Defense,26.3799991607666,76.16500091552734,1.8872252971411387
WBD,Communication Services,Entertainment,10.56999969482422,29.489999771118164,1.7899716766840064
NEM,Basic Materials,Gold,36.5994758605957,97.9000015258789,1.674901736264522
CIEN,Technology,Communication Equipment,84.80999755859375,222.20249938964844,1.620003605543469
NXT,Technology,Solar,36.52999877929688,93.43000030517578,1.5576239646119718
PLTR,Technology,Software - Infrastructure,75.62999725341797,187.5399932861328,1.4797038225154406
FIX,Industrials,Engineering & Construction,422.5635070800781,1024.9200439453125,1.4254816773637873
LRCX,Technology,Semiconductor Equipment & Materials,71.57451629638672,168.7100067138672,1.3571239519837892
FN,Technology,Electronic Components,219.8800048828125,473.6235046386719,1.1540089781746858
GEV,Industrials,Specialty Industrial Machinery,328.3995056152344,704.2000122070312,1.1443394407301557
APP,Communication Services,Advertising Agencies,323.8299865722656,681.9500122070312,1.1058890173373364
COHR,Technology,Scientific & Technical Instruments,94.7300033569336,198.5,1.0954290400695013
STRL,Industrials,Engineering & Construction,168.4499969482422,340.510009765625,1.021430786194967
APH,Technology,Electronic Components,69.05247497558594,139.08999633789062,1.0142651858179887
ATI,Industrials,Metal Fabrication,55.040000915527344,109.91999816894533,0.997092956768752
INTC,Technology,Semiconductors,20.049999237060547,39.5099983215332,0.9705735573546892
KLAC,Technology,Semiconductor Equipment & Materials,624.7797241210938,1202.9949951171875,0.9254706077561906
NRG,Utilities,Utilities - Independent Power Producers,89.00786590576172,170.63999938964844,0.9171339257848946
TPR,Consumer Cyclical,Luxury Goods,64.5165023803711,123.48999786376952,0.9140838902844942
GLW,Technology,Electronic Components,46.63371658325195,89.01000213623047,0.9087048740223624
CRS,Industrials,Metal Fabrication,169.05728149414062,322.1499938964844,0.905567101572314
CVS,Healthcare,Healthcare Plans,43.049072265625,80.83000183105469,0.8776247100590374
ROIV,Healthcare,Biotechnology,11.829999923706056,21.34000015258789,0.8038884438050425
DG,Consumer Defensive,Discount Stores,73.92154693603516,132.67999267578125,0.7948757591692474
ELAN,Healthcare,Drug Manufacturers - Specialty & Generic,12.109999656677246,21.270000457763672,0.7563997572894858
FIVE,Consumer Cyclical,Specialty Retail,104.95999908447266,182.5832977294922,0.73955125116329
DLTR,Consumer Defensive,Discount Stores,74.94000244140625,129.53500366210938,0.7285161388057015
IDXX,Healthcare,Diagnostics & Research,413.4400024414063,707.5,0.711251924879399
SGI,Consumer Cyclical,"Furnishings, Fixtures & Appliances",56.2176513671875,94.02749633789062,0.672561803120284
CELH,Consumer Defensive,Beverages - Non-Alcoholic,26.34000015258789,43.27000045776367,0.6427486790850462
C,Financial Services,Banks - Diversified,68.48985290527344,111.73999786376952,0.6314825207511288
IVZ,Financial Services,Asset Management,16.739215850830078,27.0,0.612978782316204
RL,Consumer Cyclical,Apparel Manufacturing,228.67404174804688,367.6199951171875,0.6076157674347284
HAS,Consumer Cyclical,Leisure,53.76431655883789,83.95999908447266,0.5616305471416085
GM,Consumer Cyclical,Auto Manufacturers,52.82926177978516,80.8499984741211,0.5304018218376452
EXPE,Consumer Cyclical,Travel Services,184.8380126953125,281.1499938964844,0.5210615489571012
WELL,Real Estate,REIT - Healthcare Facilities,123.8571548461914,184.97000122070312,0.4934139368081159
M,Consumer Cyclical,Department Stores,16.272010803222656,24.295000076293945,0.4930545689830997
F,Consumer Cyclical,Auto Manufacturers,9.217034339904783,13.630000114440918,0.4787836967722226
WYNN,Consumer Cyclical,Resorts & Casinos,85.33010864257812,124.54750061035156,0.4595961799608525
TNL,Consumer Cyclical,Travel Services,48.86894989013672,71.05999755859375,0.4540929919375222
EL,Consumer Defensive,Household & Personal Products,73.68051147460938,105.55999755859376,0.4326718890241443
MNST,Consumer Defensive,Beverages - Non-Alcoholic,52.560001373291016,72.48999786376953,0.3791856158627533
EEFT,Technology,Software - Infrastructure,102.83999633789062,78.51000213623047,-0.2365810488919276
PCG,Utilities,Utilities - Regulated Electric,20.08092498779297,15.270000457763672,-0.2395768388634397
PCTY,Technology,Software - Application,199.47000122070312,150.72000122070312,-0.2443976522868753
XYZ,Technology,Software - Infrastructure,84.98999786376953,63.61000061035156,-0.2515589809484166
POOL,Industrials,Industrial Distribution,335.43902587890625,240.2899932861328,-0.2836552256955406
PSN,Technology,Information Technology Services,92.25,65.88999938964844,-0.2857452640688516
OC,Industrials,Building Products & Equipment,167.08287048339844,116.45999908447266,-0.3029806182552731
ZBRA,Technology,Communication Equipment,386.2200012207031,267.6199951171875,-0.3070788817996568
CPRT,Industrials,Specialty Business Services,57.38999938964844,38.68999862670898,-0.3258407555639809
IRDM,Communication Services,Telecom Services,28.49217414855957,19.030000686645508,-0.332097277398974
FOUR,Technology,Software - Infrastructure,103.77999877929688,68.98999786376953,-0.3352283804658091
AAON,Industrials,Building Products & Equipment,117.14509582519533,77.87000274658203,-0.3352687775954346
