Ticker,Sector,Industry,Prev Year Last Close,Latest Close,Pct Change
A,Healthcare,Diagnostics & Research,133.50538635253906,138.2949981689453,0.03587579458223979
AA,Basic Materials,Aluminum,37.302852630615234,53.54999923706055,0.4355470281945928
AAL,Industrials,Airlines,17.43000030517578,15.925800323486328,-0.08629948108737473
AAON,Industrials,Building Products & Equipment,117.14509582519533,74.71499633789062,-0.36220124443467244
AAPL,Technology,Consumer Electronics,249.2925262451172,271.8399963378906,0.09044583258225564
ABBV,Healthcare,Drug Manufacturers - General,171.69651794433594,230.3000030517578,0.3413201724127052
ABNB,Consumer Cyclical,Travel Services,131.41000366210938,136.27000427246094,0.03698349041103398
ABT,Healthcare,Medical Devices,111.00659942626952,124.52999877929688,0.12182518357396929
ACGL,Financial Services,Insurance - Diversified,92.3499984741211,97.22000122070312,0.05273419412071495
ACHC,Healthcare,Medical Care Facilities,39.650001525878906,14.305000305175781,-0.6392181650777707
ACI,Consumer Defensive,Grocery Stores,19.068851470947266,17.225000381469727,-0.09669439673840743
ACM,Industrials,Engineering & Construction,105.81190490722656,97.13999938964844,-0.08195585860760612
ACN,Technology,Information Technology Services,346.8381652832031,269.3550109863281,-0.22339858196864762
ADBE,Technology,Software - Application,444.6799926757813,354.0450134277344,-0.2038206817056629
ADC,Real Estate,REIT - Retail,67.80284881591797,72.12000274658203,0.06367216136279116
ADI,Technology,Semiconductors,209.7513122558593,276.0950012207031,0.31629689583975684
ADM,Consumer Defensive,Farm Products,48.62275314331055,57.54999923706055,0.18360223386441865
ADP,Technology,Software - Application,288.23370361328125,257.4700012207031,-0.10673180133664491
ADSK,Technology,Software - Application,295.57000732421875,296.5400085449219,0.003281798547438896
ADT,Industrials,Security & Protection Services,6.724020957946777,8.085000038146973,0.2024055381016806
AEE,Utilities,Utilities - Regulated Electric,87.22351837158203,99.12999725341797,0.13650537268071433
AEP,Utilities,Utilities - Regulated Electric,89.12403869628906,114.79000091552734,0.2879802418593375
AES,Utilities,Utilities - Diversified,12.125310897827148,13.835000038146973,0.14100167449118356
AFG,Financial Services,Insurance - Property & Casualty,129.6206817626953,138.24000549316406,0.06649651593600384
AFL,Financial Services,Insurance - Life,101.2165756225586,110.55999755859375,0.09231118399892542
AFRM,Technology,Software - Infrastructure,60.900001525878906,75.27999877929688,0.2361247437293958
AGCO,Industrials,Farm & Heavy Construction Machinery,92.43858337402344,104.81999969482422,0.1339420820708957
AGNC,Real Estate,REIT - Mortgage,8.034687042236328,10.789999961853027,0.34292722356610933
AGO,Financial Services,Insurance - Specialty,89.30518341064453,91.08999633789062,0.019985546852741325
AIG,Financial Services,Insurance - Diversified,71.6487045288086,86.55000305175781,0.2079772219322917
AIT,Industrials,Industrial Distribution,237.73301696777344,263.2300109863281,0.10725053820358071
AIZ,Financial Services,Insurance - Property & Casualty,209.99395751953125,241.88499450683594,0.15186645065412677
AJG,Financial Services,Insurance Brokers,282.1337280273437,258.25,-0.08465392703785116
AKAM,Technology,Software - Infrastructure,95.6500015258789,88.61000061035156,-0.07360168116278193
AL,Industrials,Rental & Leasing Services,47.472206115722656,64.19000244140625,0.3521596675943549
ALAB,Technology,Semiconductors,132.4499969482422,167.9499969482422,0.26802567623970897
ALB,Basic Materials,Specialty Chemicals,84.5846939086914,145.3800048828125,0.7187507356797816
ALGM,Technology,Semiconductors,21.86000061035156,26.885000228881836,0.22987188829952476
ALGN,Healthcare,Medical Instruments & Supplies,208.509994506836,156.3300018310547,-0.2502517579514424
ALK,Industrials,Airlines,64.75,51.875,-0.19884169884169883
